C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
1000,TOYOTA CORONA AUTO,1982,1982,82,,,,,
1000,"TOYOTA SPRINTER TERCEL CARIBE CIELO 4 PUERTAS, P/REDONDA/PEGADO",1989,1990,89-90,B,112,79,148,
1000,TOYOTA CARINA VAGONETA II,1988,1991,88-91,,,,,
1000,"TOYOTA COROLLA AUTO-VAGONETA 4 PUERTAS, P/REDONDA/PEGADO",1973,1976,73-76,A,111,59,135,grande
1000,"TOYOTA CRESSIDA 4 PUERTAS AUTO, P/REDONDA/PEGADO",1980,1980,80,A,113,72,150,
1000,TOYOTA MODEL F VAN-TOWNACE-MINIBUS /GOMA,1987,1987,87,B/A,117,73,143,
1000,"TOYOTA DYNA CAMIONETA, P/REDONDA/PEGADO",1977,1977,77,B/B/A,128,60.5,147,60
1000,TOYOTA COASTER MICRO BUS /GOMA,1993,1995,93-95,B,177,88.5,196.5,
1000,TOYOTA DYNA CAMIONETA GRANDE 300-350 /GOMA,1985,1993,85-93,A,162,70,182,66
1000,TOYOTA CELICA 83 /PEGADO,1983,1983,83,,,,,
1000,TOYOTA LAND CRUSIER BANDEIRANTE /GOMA =P00028,1995,1998,95-98,,129,41.5,129,41.5
1000,TOYOTA CELICA 2 PUERTAS MD. 76,1976,1976,76,A,,,,
1000,"TOYOTA CAMRY AUTO, ALETA LADO IZQUIERDO, P/ESQ. /PEGADO",1988,1990,88-90,A/A/B,110,83,143,
1000,TOYOTA COASTER 90 MICRO LAMINADO /GOMA,1983,1992,83-92,B,189,78,217,
1000,"TOYOTA CROWN AUTO 4 PUERTAS, PUNTA REDONDA/PEGADO",1978,1980,78-80,A,123,73,153,68
1000,TOYOTA CELICA SUPRA 2 PUERTAS /PEGADO,1982,1982,82,A/B,108.6,68,142,62
1000,TOYOTA TERCEL AUTO 4 PUERTAS/PEGADO,1995,1995,95,B,107,80.5,144,74.5
1000,TOYOTA TOYOTA TERCEL AUTO-VAGONETA 4 PUERTAS/GOMA =P00053,1980,1980,80,B,105,61,129,60
1000,TOYOTA LAND CRUISER VAGONETA 4 PUERTAS /GOMA,1978,1978,78,A,134,50,143,48
1000,TOYOTA EXIV AUTO 4 PUERTAS /PEGADO,1992,1980,92,A/B,,,,
1000,"TOYOTA CELICA SUPRA 2 PUERTAS, AUTO CARINA /PEGADO",1988,1980,88,A/A/B,113,74,142,74
1000,TOYOTA LAND CRUISER JEEP VAGONETA /GOMA,1992,1980,92,B/A/B,127,60,142,64/69
1000,TOYOTA COROLLA 2 PUERTAS 80 /GOMA,1980,1980,80,B,108,67,141,
1000,TOYOTA CORONA/CARINA AUTO 4 PUERTAS/PEGADO,1992,1980,92,A,110,85,144,77
1000,TOYOTA CALDINA VAGONETA GR /PEGADO,1992,1980,92,A,112,83.5,144,78
1000,"TOYOTA CELICA AUTO 2 PUERTAS, Y CORONA EXIV- 4PUERTAS /PEGADO",1990,1980,90,B,103,77.5,141,
1000,"TOYOTA CELICA 2 PUERTAS, AUTO PASEO-SYNOS/PEGADO",1992,1994,92-94,B,113,78,142,
1000,TOYOTA COROLLA TRUENO LEVIN  AUTO 2 PUERTAS/PEGDO,1989,1991,89-91,B,106,82,146,78
1000,TOYOTA LITEACE MINIBUS MOD. F /PEGADO =P00091,1990,1980,90,A/B,116,85,139,82
1000,"TOYOTA HILUX CAMIONETA 2 PUERTAS, P/REDONDA/GOMA",1976,1980,76,A/A/B/A,122,57.5,143,55
1000,TOYOTA COROLLA CALDINA AUTO 4 PUERTAS/PEGADO,1998,1999,98-99,A,109,80,143,76
1000,TOYOTA COROLLA 76  AUTO 2 PUERTAS/PEGADO,1976,1980,76,,,,,
1000,TOYOTA TUNDRA CAMIONETA/PEGADO,2000,1980,2000,,130,70,158,67
1000,TOYOTA STARLET-SOLEIL 4Y 2 PUERTAS AUTO/PEGADO,1990,1992,90-92,A/B,106,75,138.5,
1000,TOYOTA LITEACE MINIBUS /PEGADO /GOMA =P00085,1992,1980,92,A,116,85,139,82
1000,"TOYOTA CROWN 88, VAGONETA 4 PUERTAS GRANDE, P/REDONDA ABAJO AL COSTADO",1988,1980,88,A/A/B,119,80,149,
1000,"TOYOTA CAMRY AUTO 4 PUERTAS, P/ESQ. /PEGADO",1992,1980,92,A,112,81.5,146,75.5
1000,"TOYOTA HILUX CAMIONETA 2 PUERTAS, P/ESQ./GOMA",1970,1980,70,,123,56.5,142,51.5
1000,TOYOTA LAND CRUISER-TURBO VAGONETA 4 PUERTAS/PEGADO,1998,1980,98,A,135,74,160,73.5
